Age,Accessibility,EdLevel,Employment,Gender,MentalHealth,MainBranch,YearsCode,YearsCodePro,Country,PreviousSalary,HaveWorkedWith,ComputerSkills,Employed
<35,No,Undergraduate,1,Man,No,Dev,12,7,Germany,60427,C;HTML/CSS;JavaScript;Rust;Docker;Git;Vue.js,7,0
>35,No,Master,1,Man,No,NotDev,20,15,United States of America,200000,Bash/Shell;C;C++;Matlab;Python;Git,6,0
<35,No,Undergraduate,1,Man,No,Dev,6,3,Canada,60505,HTML/CSS;JavaScript;Node.js;PHP;Python;TypeScript;Docker;Git;Yarn;Django;jQuery;React.js;DigitalOcean;Heroku;PostgreSQL;Redis;SQLite,17,1
<35,No,Undergraduate,1,Woman,Yes,NotDev,5,3,Brazil,18326,Bash/Shell;JavaScript;Python;SQL;Git;Google Cloud Platform;Firebase;Microsoft SQL Server;MySQL;PostgreSQL,10,0
>35,No,Master,1,Man,No,Dev,20,12,Germany,108098,C++;Crystal;Java;JavaScript;Node.js;Rust;Ansible;Docker;Git;Terraform;Express;AWS;Redis,13,0
<35,No,Master,1,Man,No,Dev,15,13,Brazil,21996,C#;HTML/CSS;Java;JavaScript;Node.js;PHP;SQL;TypeScript;Docker;Git;Yarn;ASP.NET Core ;Express;React.js;Vue.js;AWS;Heroku;Firebase;MariaDB;Microsoft SQL Server;PostgreSQL,21,1
<35,No,Master,1,Man,No,Dev,8,8,"Iran, Islamic Republic of...",142501,C;HTML/CSS;JavaScript;Matlab;Node.js;PHP;PowerShell;SQL;TypeScript;Docker;Git;Yarn;Angular;Express;jQuery;Laravel;React.js;Vue.js;Firebase;MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite,25,1
<35,No,Master,1,Man,No,NotDev,10,6,United Kingdom of Great Britain and Northern Ireland,129259,C++;Python;R;SQL;VBA;Git;AWS;Google Cloud Platform;Oracle,9,0
<35,No,PhD,1,Man,No,Dev,12,3,United States of America,93000,Bash/Shell;C++;Python;Ansible;Docker;Git,6,0
<35,No,Undergraduate,1,Man,No,Dev,20,5,United States of America,77250,C#;C++;F#;Git,4,0
<35,No,Other,1,Man,No,Dev,4,0,Colombia,9540,HTML/CSS;Java;JavaScript;PHP;Python;SQL;Git;Django;FastAPI;jQuery;Laravel;React.js;AWS;Heroku;Firebase;MariaDB;MySQL,17,0
>35,No,Master,1,Man,Yes,Dev,23,8,Italy,64859,Assembly;Bash/Shell;C;Java;Python;R;Scala;SQL;Docker;Git;AWS;DynamoDB;Elasticsearch;MongoDB;MySQL;Redis;SQLite,17,1
<35,No,Undergraduate,0,Man,No,Dev,7,5,Syrian Arab Republic,1200,Dart;HTML/CSS;Java;JavaScript;Node.js;PHP;Python;SQL;Docker;Git;Express;jQuery;Laravel;React.js;Heroku;Microsoft SQL Server;MongoDB;MySQL;SQLite,19,1
<35,No,Master,1,Man,No,Dev,8,5,France,30916,HTML/CSS;Java;JavaScript;Node.js;PHP;Python;SQL;TypeScript;Docker;Git;Kubernetes;Yarn;Angular;Express;jQuery;React.js;Spring;Symfony;Vue.js;Heroku;Elasticsearch;IBM DB2;MongoDB;PostgreSQL,24,1
>35,No,Master,1,Man,No,Dev,20,12,United Kingdom of Great Britain and Northern Ireland,87638,Bash/Shell;Groovy;Java;Docker;Git;Kubernetes;Terraform;Spring;AWS;Google Cloud Platform;IBM DB2,11,0
<35,No,Undergraduate,1,Man,No,Dev,3,3,India,26527,Python;SQL;Microsoft Azure;Microsoft SQL Server;MySQL;SQLite,6,0
<35,No,Other,1,Man,No,Dev,7,4,United Kingdom of Great Britain and Northern Ireland,20682,C#;C++;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;SQL;VBA;Git;Unity 3D;ASP.NET;ASP.NET Core ;jQuery;AWS;MariaDB;Microsoft SQL Server;MySQL;SQLite,20,1
<35,No,Other,1,Man,Yes,Dev,14,10,United States of America,129600,Assembly;Bash/Shell;C#;Groovy;HTML/CSS;Java;JavaScript;Node.js;PowerShell;Python;Ruby;SQL;Ansible;Docker;Git;Express;React.js;Ruby on Rails;Microsoft Azure;Elasticsearch;Microsoft SQL Server;MySQL;PostgreSQL,23,1
>35,No,Other,1,Man,Yes,Dev,38,20,Germany,75669,Groovy;Java;SQL;Git;Oracle,5,0
>35,No,Undergraduate,1,Man,Yes,Dev,40,25,United States of America,116000,Bash/Shell;C++;Java;Docker;Git,5,0
<35,No,Undergraduate,1,Woman,No,Dev,6,6,United States of America,104000,Bash/Shell;JavaScript;PHP;Python;TypeScript;Git;Kubernetes;Terraform;FastAPI;Flask;React.js;AWS;DynamoDB;MySQL;Redis,15,0
<35,No,NoHigherEd,1,Man,No,Dev,7,2,United Kingdom of Great Britain and Northern Ireland,36193,Bash/Shell;HTML/CSS;JavaScript;Node.js;TypeScript;Docker;Git;ASP.NET;Express;React.js;AWS;Heroku;Firebase;MongoDB;PostgreSQL;Redis,16,1
<35,No,Master,0,Man,No,Dev,13,4,India,2508,C++;Dart;Go;Java;JavaScript;Matlab;Node.js;PHP;PowerShell;Python;R;SQL;Deno;Docker;Git;Yarn;Angular;Angular.js;ASP.NET;ASP.NET Core ;Django;Express;Flask;jQuery;Laravel;React.js;Vue.js;AWS;DigitalOcean;Google Cloud Platform;Heroku;Microsoft Azure;Firebase;MariaDB;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;SQLite,40,1
<35,No,Undergraduate,0,Man,No,Dev,9,0,India,2508,C++;Go;HTML/CSS;Java;JavaScript;Matlab;Node.js;Python;Express;Flask;Spring;Google Cloud Platform;MongoDB,13,1
<35,Yes,Other,1,Man,Yes,NotDev,15,0,Mexico,7000,HTML/CSS;JavaScript;PHP;MariaDB,4,0
<35,No,Other,0,Man,No,Dev,6,0,Zambia,17500,Assembly;C;C#;C++;HTML/CSS;JavaScript;Matlab;Node.js;SQL;Xamarin;ASP.NET;ASP.NET Core ;Express;jQuery;AWS;Microsoft Azure;MariaDB;Microsoft SQL Server;MySQL;SQLite,20,1
<35,No,Other,1,Man,No,Dev,4,1,"Iran, Islamic Republic of...",11400,C#;HTML/CSS;Java;JavaScript;PHP;Python;SQL;Git;jQuery;MariaDB;MySQL;SQLite,12,1
<35,No,NoHigherEd,1,Man,No,NotDev,5,3,Italy,16860,Kotlin;Python;Git;Django;PostgreSQL,5,0
<35,No,Undergraduate,1,Man,No,Dev,7,2,India,5864,HTML/CSS;Java;JavaScript;Node.js;Docker;Git;Kubernetes;Angular;React.js;AWS;Heroku;MongoDB;MySQL;PostgreSQL;Redis,15,1
<35,No,Other,1,Man,No,Dev,5,0,Spain,18160,Java;JavaScript;PHP;SQL;Git;jQuery;MongoDB;MySQL;PostgreSQL,9,1
>35,No,Master,1,Man,No,Dev,37,21,France,68102,Bash/Shell;Go;Ansible;Docker;Microsoft Azure;Elasticsearch,6,0
<35,No,Other,1,Man,Yes,Dev,13,5,Germany,47563,Bash/Shell;C;C#;C++;HTML/CSS;Java;JavaScript;PHP;Python;Git;jQuery;Microsoft Azure;MariaDB;MongoDB;MySQL,15,1
<35,No,Master,1,Man,No,Dev,12,10,United Kingdom of Great Britain and Northern Ireland,64630,HTML/CSS;JavaScript;Git,3,0
<35,No,Master,1,Woman,No,Dev,7,2,Switzerland,69121,Java;Kotlin;Rust;Swift;TypeScript;Docker;Git;Yarn;Angular;React.js,10,0
>35,No,Undergraduate,0,Man,No,Dev,36,24,Netherlands,47563,C#;SQL;Git;Microsoft Azure;Microsoft SQL Server;SQLite,6,1
<35,No,Master,1,Man,No,Dev,15,4,United Kingdom of Great Britain and Northern Ireland,118919,Bash/Shell;Java;Python;Rust;Docker;Git;Kubernetes;Terraform;Yarn;Django;AWS;Google Cloud Platform;PostgreSQL,13,0
<35,No,Undergraduate,1,Man,No,Dev,13,8,India,57240,HTML/CSS;Java;JavaScript;Node.js;TypeScript;Ansible;Docker;Git;Kubernetes;Angular.js;Django;Express;Flask;jQuery;React.js;AWS;Google Cloud Platform;Cassandra;DynamoDB;MongoDB;MySQL;PostgreSQL;Redis,23,1
>35,No,Undergraduate,1,Man,No,Dev,20,15,Serbia,216,C++;JavaScript;Node.js;TypeScript;Git;Unity 3D;Unreal Engine;Angular;Angular.js;jQuery;React.js;Ruby on Rails;AWS;DigitalOcean;Google Cloud Platform;Microsoft Azure;Firebase;MongoDB;MySQL;PostgreSQL;SQLite,21,1
>35,No,Undergraduate,1,Man,No,Dev,19,14,Turkey,24972,HTML/CSS;JavaScript;Node.js;TypeScript;Deno;Docker;Git;Yarn;Angular;Angular.js;ASP.NET;ASP.NET Core ;Express;Gatsby;jQuery;React.js;Svelte;Vue.js;AWS;Microsoft Azure;Firebase;MongoDB,22,1
<35,No,Other,0,Man,Yes,Dev,12,10,United Kingdom of Great Britain and Northern Ireland,155111,JavaScript;Node.js;React.js;SQLite,4,0
<35,No,Undergraduate,1,Man,No,Dev,14,10,India,30018,Bash/Shell;C;C++;Go;HTML/CSS;Ansible;Docker;Git;Kubernetes;AWS;Google Cloud Platform;Oracle,12,0
<35,No,Master,1,Woman,Yes,Dev,11,3,"Iran, Islamic Republic of...",475,Java;Python;SQL;Git;MariaDB;Microsoft SQL Server,6,0
<35,No,Master,1,Man,No,Dev,11,6,France,44320,HTML/CSS;JavaScript;TypeScript;Docker;Git;Yarn;Angular,7,0
<35,No,Undergraduate,1,Man,No,Dev,10,5,United States of America,65000,HTML/CSS;Java;JavaScript;PHP;SQL;Git;Angular.js;jQuery;Spring;Elasticsearch;Oracle,11,0
>35,No,Undergraduate,1,Man,No,Dev,23,20,Canada,60505,Bash/Shell;Java;Python;SQL;Docker;Git;SQLite,7,1
<35,No,Undergraduate,1,Man,Yes,Dev,8,3,India,7200,HTML/CSS;Java;JavaScript;TypeScript;Angular;Laravel;Elasticsearch;Firebase,8,0
<35,No,Undergraduate,1,Man,No,Dev,5,2,India,3770,Java;Python;Git;MySQL;SQLite,5,0
>35,No,Other,1,Man,No,Dev,41,35,United States of America,160000,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript;Git;Xamarin;Angular;ASP.NET;ASP.NET Core ;jQuery;Microsoft Azure;Microsoft SQL Server;SQLite,15,1
<35,Yes,Undergraduate,1,Man,No,Dev,8,2,Denmark,57312,C#;HTML/CSS;JavaScript;Node.js;PowerShell;SQL;Docker;Git;Unity 3D;ASP.NET;ASP.NET Core ;Express;jQuery;React.js;Vue.js;Microsoft Azure;Firebase;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;SQLite,22,1
<35,No,Undergraduate,1,Man,No,Dev,4,2,United States of America,68000,HTML/CSS;JavaScript;TypeScript;Git;Angular;Microsoft Azure,6,0
>35,No,Undergraduate,1,Man,No,Dev,35,20,United States of America,144000,Bash/Shell;C#;HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL;TypeScript;Docker;Git;Kubernetes;Xamarin;Angular.js;ASP.NET;ASP.NET Core ;Flask;jQuery;React.js;AWS;Microsoft Azure;Microsoft SQL Server;MySQL;Oracle,24,1
<35,No,Undergraduate,1,Man,Yes,NotDev,6,2,United States of America,60000,Bash/Shell;C#;HTML/CSS;JavaScript;Node.js;Perl;PowerShell;Python;Rust;SQL;Docker;Git;Kubernetes;Puppet;ASP.NET;ASP.NET Core ;Django;Flask;React.js;Svelte;AWS;DigitalOcean;Google Cloud Platform;Microsoft Azure;Microsoft SQL Server;Oracle;PostgreSQL;Redis;SQLite,29,1
<35,No,Undergraduate,1,Woman,No,Dev,5,2,India,15682,C++,1,0
>35,No,Master,1,Man,No,NotDev,3,3,Germany,81074,Bash/Shell;Python;Docker;Git;Django;Flask;AWS;MariaDB;MySQL;PostgreSQL;SQLite,11,0
>35,No,Undergraduate,1,Man,Yes,Dev,38,16,United Kingdom of Great Britain and Northern Ireland,49119,C#;Go;HTML/CSS;JavaScript;SQL;Git;ASP.NET Core ;jQuery;Vue.js;Microsoft SQL Server,10,1
<35,No,Undergraduate,1,Man,No,Dev,17,10,France,33732,HTML/CSS;JavaScript;PHP;Python;SQL;Git;Django;MySQL;PostgreSQL;Redis;SQLite,11,0
>35,No,PhD,1,Man,No,NotDev,15,15,Argentina,14016,Python;R,2,0
<35,No,Undergraduate,1,Man,No,Dev,4,3,Israel,63036,C++;JavaScript;TypeScript;Git;Yarn;Angular;React.js;Heroku;Microsoft Azure;Firebase;Oracle,11,0
<35,No,Master,1,Man,No,Dev,7,3,Italy,25944,C;Python;R;SQL;Git;Microsoft Azure;Microsoft SQL Server;Oracle,8,0
<35,No,Master,1,Man,No,Dev,13,7,India,16080,C#;HTML/CSS;Java;JavaScript;SQL;VBA;Git;Angular.js;ASP.NET;IBM DB2;MariaDB;Microsoft SQL Server;MySQL;Oracle;PostgreSQL,15,1
<35,No,Undergraduate,1,Man,No,Dev,10,1,United States of America,90000,Bash/Shell;C;Go;Groovy;HTML/CSS;Java;JavaScript;Node.js;Python;SQL;Swift;TypeScript;Docker;Git;Kubernetes;Terraform;Yarn;Express;Flask;jQuery;React.js;Spring;AWS;DigitalOcean;Google Cloud Platform;DynamoDB;Elasticsearch;Firebase;MySQL;Redis;SQLite,31,1
<35,No,Master,1,Man,Yes,Dev,15,10,India,111694,Java;Python;Scala;Git;Kubernetes;Django;Spring;AWS;MongoDB;PostgreSQL,10,0
<35,No,Undergraduate,1,Man,No,NotDev,6,1,United States of America,65000,Python;SQL;MySQL;PostgreSQL,4,0
<35,No,Undergraduate,0,Man,No,Dev,3,1,Taiwan,60000,HTML/CSS;JavaScript;Node.js;Ruby;Git;Yarn;jQuery;React.js;Ruby on Rails;Vue.js;AWS;Google Cloud Platform;Heroku;MongoDB;PostgreSQL;SQLite,16,1
<35,No,Master,1,Man,No,Dev,15,7,Czech Republic,32736,Bash/Shell;C;Groovy;Python;Ansible;Git,6,0
>35,No,Undergraduate,1,Man,Yes,Dev,30,26,United States of America,150000,Java;Kotlin;Objective-C;SQL;Docker;Git;AWS;Google Cloud Platform;Firebase;MySQL;Oracle;PostgreSQL;SQLite,13,0
<35,No,Undergraduate,1,Man,No,Dev,7,3,Germany,60972,C++;Groovy;Java;Python;Docker;Git;Kubernetes;Terraform;Spring;Microsoft Azure;MySQL;Oracle;PostgreSQL;SQLite,14,0
<35,No,Undergraduate,1,Man,No,Dev,16,11,India,23735,Bash/Shell;C;C++;Java;JavaScript;Python;Ansible;Docker;Git;Kubernetes;AWS;Cassandra;PostgreSQL,13,0
<35,No,PhD,1,Man,No,Dev,16,6,Germany,62481,Bash/Shell;HTML/CSS;Java;Docker;Git;Spring;Microsoft SQL Server;MySQL;Oracle,9,1
<35,No,Other,1,Man,No,Dev,9,8,Russian Federation,24540,Bash/Shell;HTML/CSS;Java;JavaScript;PHP;Python;Scala;SQL;TypeScript;Docker;Git;React.js;AWS;Cassandra;DynamoDB;MariaDB;MongoDB;MySQL;PostgreSQL;SQLite,20,1
<35,No,Undergraduate,1,Man,No,Dev,6,3,Canada,31400,Go;HTML/CSS;JavaScript;Node.js;Python;Rust;TypeScript;Docker;Git;Express;MariaDB,11,0
>35,No,Undergraduate,1,NonBinary,No,Dev,37,23,United States of America,150000,C;C#;C++;HTML/CSS;Java;PHP;PowerShell;Rust;SQL;Docker;Git;ASP.NET;Spring;MariaDB;Microsoft SQL Server;PostgreSQL,16,1
<35,No,Undergraduate,1,Man,No,Dev,6,1,India,5868,C;C++;Go;Java;JavaScript;Node.js;Python;R;Ruby;SQL;Docker;Git;Yarn;Express;jQuery;React.js;Ruby on Rails;AWS;Heroku;DynamoDB;MongoDB;PostgreSQL,22,1
<35,No,Master,1,Man,No,Dev,12,18,France,51887,C#;PHP;SQL;Docker;Git;Kubernetes;MariaDB;Redis,8,0
<35,No,Undergraduate,1,Man,No,Dev,10,8,India,29320,Python;Swift;Docker;Git;Kubernetes;Django;Flask;AWS;Heroku;MongoDB;MySQL;PostgreSQL;Redis,13,0
>35,No,Undergraduate,1,Man,No,Dev,13,11,United States of America,105000,C#;HTML/CSS;JavaScript;SQL;Git;ASP.NET;ASP.NET Core ;Microsoft SQL Server,8,0
>35,No,Undergraduate,1,Man,No,Dev,20,12,United Kingdom of Great Britain and Northern Ireland,134430,Elixir;Erlang;Git;Terraform;AWS,5,0
<35,No,Other,1,Man,Yes,Dev,5,8,Brazil,5496,C#;JavaScript;Python;Docker;Git;Yarn;Django;jQuery;React.js;Heroku;Oracle Cloud Infrastructure;MySQL;PostgreSQL;SQLite,14,1
>35,No,Undergraduate,1,Man,No,Dev,21,17,Netherlands,71340,C;C++;Java;Rust;Git;Terraform;Angular;Google Cloud Platform;PostgreSQL,9,0
>35,No,Undergraduate,1,Man,No,Dev,39,16,Italy,41077,Bash/Shell;C++;HTML/CSS;JavaScript;Node.js;PHP;SQL;Docker;Git;jQuery;Symfony;Oracle,12,1
>35,No,Other,1,Man,Yes,Dev,10,3,United States of America,70000,C#;HTML/CSS;JavaScript;Node.js;TypeScript;Git;Angular;ASP.NET;ASP.NET Core ;Vue.js;Microsoft Azure;Microsoft SQL Server,12,1
>35,No,Undergraduate,1,Man,No,Dev,25,12,Netherlands,59454,Kotlin;Objective-C;Ruby;Swift;AWS,5,0
<35,No,Master,1,Man,No,Dev,4,3,Croatia,15672,Go;Groovy;HTML/CSS;Java;JavaScript;Python;SQL;Docker;Git;jQuery;Spring;MySQL;PostgreSQL;SQLite,14,1
>35,No,Master,1,Man,No,Dev,38,26,Italy,45401,Java;Chef;Docker;Git;Kubernetes;Spring;Elasticsearch;MongoDB;MySQL,9,0
<35,No,Undergraduate,1,Man,No,Dev,12,6,India,34904,Bash/Shell;HTML/CSS;Java;JavaScript;Node.js;PHP;Python;SQL;TypeScript;Git;Angular;Django;Express;Spring;AWS;DynamoDB;Elasticsearch;MariaDB;MongoDB;MySQL;PostgreSQL;Redis,22,1
<35,No,NoHigherEd,0,Man,No,Dev,8,4,Germany,172950,Go;HTML/CSS;JavaScript;Node.js;PHP;Python;SQL;TypeScript;Docker;Kubernetes;React.js;DigitalOcean;Google Cloud Platform;MongoDB;MySQL;PostgreSQL;Redis,17,1
<35,No,Master,1,NonBinary,No,Dev,16,8,United States of America,150000,C#;Java;JavaScript;SQL;TypeScript;Docker;Git;Terraform;Yarn;ASP.NET;ASP.NET Core ;Spring;Microsoft Azure;Microsoft SQL Server;Redis,15,1
<35,No,Undergraduate,0,Man,No,Dev,2,0,Russian Federation,11328,Bash/Shell;Go;HTML/CSS;JavaScript;Node.js;SQL;TypeScript;Docker;Git;React.js;MongoDB;PostgreSQL,12,1
<35,No,Undergraduate,1,Man,Yes,Dev,7,6,United Kingdom of Great Britain and Northern Ireland,47826,Bash/Shell;HTML/CSS;JavaScript;Node.js;TypeScript;Docker;Git;Yarn;Gatsby;jQuery;Laravel;React.js;Elasticsearch;MariaDB;MySQL,15,1
>35,No,Master,1,Man,Yes,Dev,12,12,United States of America,80000,C#;HTML/CSS;JavaScript;Node.js;PowerShell;SQL;Git;Microsoft SQL Server,8,1
>35,No,PhD,1,Man,No,NotDev,29,16,Germany,84316,C++;Python,2,0
>35,No,Undergraduate,1,Man,Yes,Dev,35,21,Netherlands,81074,Assembly;C;C#;C++;Delphi;HTML/CSS;Java;JavaScript;PHP;PowerShell;Ruby;SQL;TypeScript;Docker;Git;ASP.NET;ASP.NET Core ;jQuery;React.js;Ruby on Rails;Microsoft Azure;Oracle Cloud Infrastructure;Elasticsearch;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL;SQLite,28,1
<35,No,Master,1,Man,No,Dev,5,2,Tunisia,6108,Java;JavaScript;SQL;TypeScript;Git;React.js;Spring;AWS;MySQL,9,0
>35,No,Other,0,Man,No,Dev,47,35,Germany,162147,Delphi;Git;Microsoft SQL Server;SQLite,4,0
<35,No,Other,0,Man,No,Dev,12,9,Czech Republic,41568,C;HTML/CSS;JavaScript;Node.js;PHP;Python;SQL;TypeScript;Ansible;Docker;Git;Yarn;Django;Flask;jQuery;React.js;DigitalOcean;Microsoft Azure;Elasticsearch;MariaDB;MySQL;PostgreSQL;Redis;SQLite,24,1
<35,No,Undergraduate,1,Man,Yes,NotDev,3,2,Ukraine,23400,Bash/Shell;PowerShell;Python;R;SQL;Docker;Git;FastAPI;DigitalOcean;PostgreSQL,10,0
>35,No,Other,1,Man,Yes,Dev,26,20,Japan,95000,Bash/Shell;C#;HTML/CSS;JavaScript;PHP;SQL;Docker;Git;jQuery;Symfony;AWS;DigitalOcean;Microsoft Azure;MariaDB;Microsoft SQL Server;MySQL;PostgreSQL;Redis,18,1
<35,No,Master,1,Man,No,Dev,13,9,Italy,57292,Elixir;Go;Rust;Docker;Git;AWS;MySQL;PostgreSQL;Redis,9,0
<35,No,Undergraduate,1,Man,No,Dev,5,3,India,7679,HTML/CSS;Java;JavaScript;SQL;Ansible;Git;React.js;Spring;Firebase;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis,15,1
<35,No,Undergraduate,1,Man,No,Dev,5,0,Turkey,9862,C;C#;Java;JavaScript;Python;Git;React.js;Google Cloud Platform;MySQL;PostgreSQL,10,0
<35,No,Undergraduate,1,Man,No,Dev,10,4,Brazil,16035,C#;Git;Oracle,3,0
<35,No,Undergraduate,1,Man,No,NotDev,10,5,Germany,73507,C;C#;C++;HTML/CSS;JavaScript;Python;Git;Unity 3D;Flask;DigitalOcean;MySQL;SQLite,12,0
>35,No,Other,1,Man,No,Dev,36,23,Austria,51372,C#;PowerShell;SQL;Elasticsearch;Microsoft SQL Server;Oracle;PostgreSQL,7,0
<35,No,Undergraduate,1,NonBinary,No,Dev,6,4,Canada,55967,Bash/Shell;C#;HTML/CSS;JavaScript;Node.js;PowerShell;SQL;TypeScript;Deno;Git;Yarn;ASP.NET;ASP.NET Core ;jQuery;Vue.js;Microsoft SQL Server;MongoDB;PostgreSQL,18,1
<35,No,Other,1,Man,No,Dev,2,7,Colombia,8124,C#;HTML/CSS;JavaScript;SQL;ASP.NET;Microsoft SQL Server;Oracle,7,0
<35,No,Master,1,Man,Yes,Dev,18,13,Portugal,59676,Bash/Shell;HTML/CSS;JavaScript;PowerShell;Python;SQL;Docker;Git;Django;Flask;jQuery;DigitalOcean;Elasticsearch;MySQL;PostgreSQL;SQLite,16,1
<35,No,Master,1,Man,No,Dev,10,5,South Korea,40248,C++;HTML/CSS;JavaScript;Node.js;Git;jQuery;AWS;MongoDB,8,1
>35,No,Undergraduate,0,Man,No,Dev,23,16,United Kingdom of Great Britain and Northern Ireland,59459,C#;HTML/CSS;JavaScript;PHP;Git;ASP.NET;jQuery;Microsoft Azure;Microsoft SQL Server;MySQL,10,1
>35,No,Master,1,Man,Yes,Dev,42,35,Germany,54070,C;Java;Perl,3,0
<35,No,Undergraduate,1,Man,No,Dev,13,1,Romania,16284,Assembly;Bash/Shell;C;Dart;Go;HTML/CSS;Java;JavaScript;Matlab;Node.js;Objective-C;Swift;Docker;Git;Yarn;Express;jQuery;React.js;Svelte;Google Cloud Platform;Heroku;IBM Cloud or Watson;Oracle Cloud Infrastructure;Firebase;Microsoft SQL Server;MongoDB;SQLite,27,1
>35,No,Master,1,Man,No,Dev,21,16,Hungary,47532,Java;Python;SQL;Docker;Git;MariaDB;Microsoft SQL Server;MySQL,8,0
<35,No,Master,0,Man,No,Dev,8,2,Hungary,64860,C++;HTML/CSS;JavaScript;Python;R;Docker;Git;Yarn;Django;Flask;React.js;Vue.js;Microsoft Azure;Firebase;MongoDB;MySQL,16,0
<35,No,Other,1,Man,No,Dev,15,10,United States of America,155000,Bash/Shell;HTML/CSS;Java;JavaScript;Node.js;Python;SQL;TypeScript;Docker;Git;Terraform;Yarn;Express;React.js;Spring;AWS;Heroku;DynamoDB;MySQL;PostgreSQL;Redis,21,1
<35,No,Undergraduate,1,Man,No,Dev,8,4,Spain,32429,Bash/Shell;HTML/CSS;JavaScript;Node.js;Python;TypeScript;Docker;Git;Yarn;React.js;DigitalOcean,11,1
<35,No,Undergraduate,1,Man,No,NotDev,10,8,China,29148,Bash/Shell;C;C#;Go;Java;JavaScript;Node.js;Python;Git;Kubernetes;Angular.js;ASP.NET Core ;jQuery;Spring;Microsoft Azure;Microsoft SQL Server;MySQL;PostgreSQL;Redis;SQLite,20,1
>35,No,Master,1,Man,Yes,NotDev,24,12,Brazil,30240,Bash/Shell;Go;Python;Ansible;Git;AWS;DigitalOcean;Elasticsearch;Microsoft SQL Server;MongoDB;PostgreSQL;Redis,12,1
<35,No,Undergraduate,1,Man,No,Dev,12,7,Colombia,15888,C#;HTML/CSS;JavaScript;Node.js;Python;SQL;TypeScript;Git;ASP.NET Core ;Django;FastAPI;Flask;Vue.js;AWS;Heroku;Microsoft Azure;Microsoft SQL Server;MongoDB;MySQL;Oracle;PostgreSQL;Redis,22,1
<35,No,Undergraduate,1,Man,No,Dev,4,1,India,6696,Bash/Shell;HTML/CSS;JavaScript;Node.js;TypeScript;Docker;Git;Yarn;Angular;Express;AWS;Heroku;MongoDB;PostgreSQL,14,1
<35,No,Master,1,Man,Yes,Dev,13,5,Poland,66828,Bash/Shell;C;C++;Python;Docker;Git;AWS,7,0
<35,No,Undergraduate,0,Man,No,Dev,15,10,Poland,75937,C#;HTML/CSS;JavaScript;Node.js;PHP;TypeScript;Ansible;Docker;Git;Kubernetes;Pulumi;Terraform;Yarn;Express;React.js;Vue.js;AWS;DigitalOcean;Google Cloud Platform;Heroku;Elasticsearch;Firebase;MariaDB;MongoDB;MySQL;PostgreSQL,26,1
<35,No,Undergraduate,1,Man,No,Dev,4,0,Israel,98064,HTML/CSS;Java;JavaScript;Kotlin;TypeScript;Flow;Gatsby;React.js;AWS;MySQL,10,0
<35,No,Undergraduate,1,Man,No,Dev,6,2,India,2508,C#;HTML/CSS;JavaScript;Node.js;PHP;SQL;TypeScript;Git;ASP.NET;Gatsby;jQuery;Laravel;React.js;Vue.js;Microsoft Azure;MariaDB;Microsoft SQL Server;MySQL,18,1
<35,No,Undergraduate,1,Man,No,Dev,13,11,United Kingdom of Great Britain and Northern Ireland,118919,Java;Kotlin;SQL;Git;SQLite,5,0
>35,No,Master,1,Man,Yes,Dev,5,5,United States of America,140000,Python;Docker;Git;Terraform;Flask;AWS;DigitalOcean;Google Cloud Platform;DynamoDB;MariaDB;MongoDB;MySQL;PostgreSQL;Redis;SQLite,15,0
>35,No,PhD,1,Man,No,Dev,25,14,United States of America,130000,Bash/Shell;HTML/CSS;JavaScript;Julia;Python;Docker;Git;Kubernetes;jQuery;Vue.js;AWS;Heroku;Microsoft Azure;PostgreSQL,14,0
<35,No,Other,1,Man,No,Dev,25,11,Finland,54480,Bash/Shell;HTML/CSS;Java;JavaScript;PHP;Python;SQL;Ansible;Docker;Git;Angular.js;Django;Drupal;Flask;jQuery;React.js;Google Cloud Platform;MariaDB;MySQL;PostgreSQL;Redis,21,1
>35,No,Master,1,Man,No,Dev,25,15,Japan,89568,Bash/Shell;HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript;Git;Angular;Spring;PostgreSQL,11,1
<35,No,Undergraduate,1,Man,No,Dev,13,9,Spain,81074,Groovy;HTML/CSS;JavaScript;Kotlin;Node.js;PowerShell;TypeScript;Deno;Docker;Flow;Git;Express;React.js;Spring;AWS;Couchbase;Firebase;MySQL;Redis;SQLite,20,1
>35,No,Master,1,Man,No,Dev,18,15,United States of America,115000,C#;F#;Java;JavaScript;PowerShell;SQL;Ansible;Git;ASP.NET;ASP.NET Core ;jQuery;Vue.js;Microsoft SQL Server,13,1
<35,No,Master,1,Man,No,Dev,5,0,United Kingdom of Great Britain and Northern Ireland,38778,Matlab;Python,2,0
>35,No,Other,1,Man,No,Dev,12,12,Czech Republic,57156,Bash/Shell;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript;Git;Yarn;React.js;PostgreSQL,11,1
